Longitude,Latitude,Speed,Distance,Time,Acc X,Acc Y,Acc Z,Heading,gyro_x,gyro_y,gyro_z
0.0,0.0,0.0,0.0,18-45-01,-0.2865095,-0.15841463,0.06052053,249.0,0.009574091,0.0010231993,0.05206649
0.0,0.0,0.0,0.0,18-45-01,-0.2865095,-0.15841463,0.06052053,249.0,0.009574091,0.0010231993,0.05206649
0.0,0.0,0.0,0.0,18-45-01,-0.2863617,-0.15570334,0.056883633,249.0,0.009574091,0.0010231993,0.05206649
0.0,0.0,0.0,0.0,18-45-01,-0.2863617,-0.15570334,0.056883633,249.0,0.009574091,0.0010231993,0.05206649
0.0,0.0,0.0,0.0,18-45-01,-0.2863617,-0.15570334,0.056883633,249.0,0.009574091,0.0010231993,0.05206649
0.0,0.0,0.0,0.0,18-45-01,-0.28629303,-0.15706483,0.056111157,249.0,0.009574091,0.0010231993,0.05206649
0.0,0.0,0.0,0.0,18-45-01,-0.28629303,-0.15706483,0.056111157,249.0,0.009574091,0.0010231993,0.05206649
0.0,0.0,0.0,0.0,18-45-01,-0.28599358,-0.1522364,0.048836768,249.0,0.013239282,0.023625214,0.03129707
0.0,0.0,0.0,0.0,18-45-01,-0.28599358,-0.1522364,0.048836768,249.0,0.013239282,0.023625214,0.03129707
0.0,0.0,0.0,0.0,18-45-01,-0.28599358,-0.1522364,0.048836768,249.0,0.013239282,0.023625214,0.03129707
0.0,0.0,0.0,0.0,18-45-01,0.22143745,0.21147498,-0.32510334,249.0,0.013239282,0.023625214,0.03129707
0.0,0.0,0.0,0.0,18-45-01,0.22143745,0.21147498,-0.32510334,249.0,0.013239282,0.023625214,0.03129707
0.0,0.0,0.0,0.0,18-45-01,0.22143745,0.21147498,-0.32510334,249.0,0.013239282,0.023625214,0.03129707
0.0,0.0,0.0,0.0,18-45-01,0.22121716,0.21962292,-0.32439852,249.0,0.013239282,0.023625214,0.03129707
0.0,0.0,0.0,0.0,18-45-01,0.22121716,0.21962292,-0.32439852,249.0,0.013239282,0.023625214,0.03129707
0.0,0.0,0.0,0.0,18-45-01,0.22121716,0.21962292,-0.32439852,249.0,0.013239282,0.023625214,0.03129707
0.0,0.0,0.0,0.0,18-45-01,0.22121716,0.21962292,-0.32439852,249.0,0.013239282,0.023625214,0.03129707
0.0,0.0,0.0,0.0,18-45-01,0.22121716,0.21962292,-0.32439852,249.0,0.013239282,0.023625214,0.03129707
0.0,0.0,0.0,0.0,18-45-01,0.2196827,0.2333424,-0.30117428,249.0,0.013239282,0.023625214,0.03129707
0.0,0.0,0.0,0.0,18-45-01,0.2196827,0.2333424,-0.30117428,249.0,0.013239282,0.023625214,0.03129707
0.0,0.0,0.0,0.0,18-45-01,0.2196827,0.2333424,-0.30117428,249.0,0.013239282,0.023625214,0.03129707
0.0,0.0,0.0,0.0,18-45-01,-0.03668499,-0.11724618,0.08778942,249.0,0.013239282,0.023625214,0.03129707
0.0,0.0,0.0,0.0,18-45-01,-0.03668499,-0.11724618,0.08778942,249.0,0.013239282,0.023625214,0.03129707
0.0,0.0,0.0,0.0,18-45-01,-0.03668499,-0.11724618,0.08778942,249.0,0.013239282,0.023625214,0.03129707
0.0,0.0,0.0,0.0,18-45-01,-0.03668499,-0.11724618,0.08778942,249.0,0.013239282,0.023625214,0.03129707
0.0,0.0,0.0,0.0,18-45-01,-0.03682232,-0.10778876,0.08715135,249.0,0.013239282,0.023625214,0.03129707
0.0,0.0,0.0,0.0,18-45-01,-0.03752041,-0.11636925,0.10337508,249.0,0.04683687,-0.106489085,-0.06033272
0.0,0.0,0.0,0.0,18-45-01,-0.03752041,-0.11636925,0.10337508,249.0,0.04683687,-0.106489085,-0.06033272
0.0,0.0,0.0,0.0,18-45-01,-0.03752041,-0.11636925,0.10337508,249.0,0.04683687,-0.106489085,-0.06033272
0.0,0.0,0.0,0.0,18-45-01,-0.03819561,-0.124779195,0.119717926,249.0,0.04683687,-0.106489085,-0.06033272
0.0,0.0,0.0,0.0,18-45-01,-0.03819561,-0.124779195,0.119717926,249.0,0.04683687,-0.106489085,-0.06033272
0.0,0.0,0.0,0.0,18-45-01,-0.03819561,-0.124779195,0.119717926,249.0,0.04683687,-0.106489085,-0.06033272
0.0,0.0,0.0,0.0,18-45-01,-0.03819561,-0.124779195,0.119717926,249.0,0.04683687,-0.106489085,-0.06033272
0.0,0.0,0.0,0.0,18-45-01,-0.03819561,-0.124779195,0.119717926,249.0,0.04683687,-0.106489085,-0.06033272
0.0,0.0,0.0,0.0,18-45-01,0.06265545,-0.21565855,-0.14486817,249.0,0.04683687,-0.106489085,-0.06033272
0.0,0.0,0.0,0.0,18-45-01,0.06265545,-0.21565855,-0.14486817,249.0,0.04683687,-0.106489085,-0.06033272
0.0,0.0,0.0,0.0,18-45-01,0.06265545,-0.21565855,-0.14486817,249.0,0.04683687,-0.106489085,-0.06033272
0.0,0.0,0.0,0.0,18-45-01,0.062880516,-0.22072943,-0.14709315,249.0,0.04683687,-0.106489085,-0.06033272
0.0,0.0,0.0,0.0,18-45-01,0.062880516,-0.22072943,-0.14709315,249.0,0.04683687,-0.106489085,-0.06033272
0.0,0.0,0.0,0.0,18-45-01,0.062880516,-0.22072943,-0.14709315,249.0,0.04683687,-0.106489085,-0.06033272
0.0,0.0,0.0,0.0,18-45-01,0.062880516,-0.22072943,-0.14709315,249.0,0.04683687,-0.106489085,-0.06033272
0.0,0.0,0.0,0.0,18-45-01,0.06296253,-0.22666495,-0.14635926,248.0,0.04683687,-0.106489085,-0.06033272
0.0,0.0,0.0,0.0,18-45-01,0.06326389,-0.23940724,-0.14628804,249.0,0.04683687,-0.106489085,-0.06033272
0.0,0.0,0.0,0.0,18-45-01,-0.59505844,-0.19137114,0.18767026,249.0,0.04683687,-0.106489085,-0.06033272
0.0,0.0,0.0,0.0,18-45-01,-0.59505844,-0.19137114,0.18767026,249.0,0.04683687,-0.106489085,-0.06033272
0.0,0.0,0.0,0.0,18-45-01,-0.59505844,-0.19137114,0.18767026,249.0,0.04683687,-0.106489085,-0.06033272
0.0,0.0,0.0,0.0,18-45-01,-0.59505844,-0.19137114,0.18767026,249.0,0.04683687,-0.106489085,-0.06033272
0.0,0.0,0.0,0.0,18-45-01,-0.59505844,-0.19137114,0.18767026,249.0,0.04683687,-0.106489085,-0.06033272
0.0,0.0,0.0,0.0,18-45-01,-0.59505844,-0.19137114,0.18767026,249.0,0.04683687,-0.106489085,-0.06033272
0.0,0.0,0.0,0.0,18-45-01,-0.59547997,-0.18951836,0.19510338,249.0,0.04683687,-0.106489085,-0.06033272
0.0,0.0,0.0,0.0,18-45-01,-0.59588814,-0.16756344,0.19281393,249.0,0.01629361,-0.0063071838,0.05084476
0.0,0.0,0.0,0.0,18-45-01,-0.59588814,-0.16756344,0.19281393,249.0,0.01629361,-0.0063071838,0.05084476
0.0,0.0,0.0,0.0,18-45-01,-0.59588814,-0.16756344,0.19281393,249.0,0.01629361,-0.0063071838,0.05084476
0.0,0.0,0.0,0.0,18-45-01,-0.59570026,-0.164298,0.18782297,249.0,0.01629361,-0.0063071838,0.05084476
0.0,0.0,0.0,0.0,18-45-01,-0.59570026,-0.164298,0.18782297,249.0,0.01629361,-0.0063071838,0.05084476
0.0,0.0,0.0,0.0,18-45-01,-0.59570026,-0.164298,0.18782297,249.0,0.01629361,-0.0063071838,0.05084476
0.0,0.0,0.0,0.0,18-45-01,-0.59570026,-0.164298,0.18782297,249.0,0.01629361,-0.0063071838,0.05084476
0.0,0.0,0.0,0.0,18-45-01,-0.59570026,-0.164298,0.18782297,249.0,0.01629361,-0.0063071838,0.05084476
0.0,0.0,0.0,0.0,18-45-02,-0.14894295,-0.15427345,0.020936072,249.0,0.01629361,-0.0063071838,0.05084476
0.0,0.0,0.0,0.0,18-45-02,-0.14894295,-0.15427345,0.020936072,249.0,0.01629361,-0.0063071838,0.05084476
0.0,0.0,0.0,0.0,18-45-02,-0.14894295,-0.15427345,0.020936072,249.0,0.01629361,-0.0063071838,0.05084476
0.0,0.0,0.0,0.0,18-45-02,-0.148489,-0.15000746,0.0107114315,249.0,0.01629361,-0.0063071838,0.05084476
0.0,0.0,0.0,0.0,18-45-02,-0.148489,-0.15000746,0.0107114315,249.0,0.01629361,-0.0063071838,0.05084476
0.0,0.0,0.0,0.0,18-45-02,-0.14847183,-0.15141192,0.010799944,249.0,0.01629361,-0.0063071838,0.05084476
0.0,0.0,0.0,0.0,18-45-02,-0.14847183,-0.15141192,0.010799944,249.0,0.01629361,-0.0063071838,0.05084476
0.0,0.0,0.0,0.0,18-45-02,-0.14847183,-0.15141192,0.010799944,249.0,0.01629361,-0.0063071838,0.05084476
0.0,0.0,0.0,0.0,18-45-02,-0.14766693,-0.1617302,1.9341707E-4,249.0,0.01629361,-0.0063071838,0.05084476
0.0,0.0,0.0,0.0,18-45-02,-0.31972885,0.14049283,-0.30941966,249.0,0.01629361,-0.0063071838,0.05084476
0.0,0.0,0.0,0.0,18-45-02,-0.31972885,0.14049283,-0.30941966,249.0,0.01629361,-0.0063071838,0.05084476
0.0,0.0,0.0,0.0,18-45-02,-0.31972885,0.14049283,-0.30941966,249.0,0.01629361,-0.0063071838,0.05084476
0.0,0.0,0.0,0.0,18-45-02,-0.31972885,0.14049283,-0.30941966,249.0,0.01629361,-0.0063071838,0.05084476
0.0,0.0,0.0,0.0,18-45-02,-0.31972885,0.14049283,-0.30941966,249.0,-0.124205396,0.015683964,0.06367293
0.0,0.0,0.0,0.0,18-45-02,-0.31982708,0.14722492,-0.31031677,249.0,-0.124205396,0.015683964,0.06367293
0.0,0.0,0.0,0.0,18-45-02,-0.31982708,0.14722492,-0.31031677,249.0,-0.124205396,0.015683964,0.06367293
0.0,0.0,0.0,0.0,18-45-02,-0.3194523,0.1587096,-0.3218629,249.0,-0.124205396,0.015683964,0.06367293
0.0,0.0,0.0,0.0,18-45-02,-0.3194523,0.1587096,-0.3218629,249.0,-0.124205396,0.015683964,0.06367293
0.0,0.0,0.0,0.0,18-45-02,-0.3194523,0.1587096,-0.3218629,249.0,-0.124205396,0.015683964,0.06367293
0.0,0.0,0.0,0.0,18-45-02,-0.31938648,0.16040194,-0.3234904,249.0,-0.124205396,0.015683964,0.06367293
0.0,0.0,0.0,0.0,18-45-02,-0.31938648,0.16040194,-0.3234904,249.0,-0.124205396,0.015683964,0.06367293
0.0,0.0,0.0,0.0,18-45-02,-0.31938648,0.16040194,-0.3234904,249.0,-0.124205396,0.015683964,0.06367293
0.0,0.0,0.0,0.0,18-45-02,-0.31938648,0.16040194,-0.3234904,249.0,-0.124205396,0.015683964,0.06367293
